"","x"
"28","@stinny1968 @YourBoyRoyP @Nigel_Farage @LeaveMnsLeave Despite brexiter claims to the contrary, Honda shutting down in Swindon is down to brexit, The plant had already ceased diesel production some time ago, and Honda was about to install equipment to convert to electric car production, why do you think they changed their minds?"
"29","@markj113 @robsta2 @Nigel_Farage They play a part, the biggest part is brexit, car companies manufacturing in this country are facing 10% tariffs into their biggest market by remaining in the UK. What do you think they're going to do? Make a loss on their cars?"
"30","@markj113 @robsta2 @Nigel_Farage Still doesn't make a bailout certain, just speculation. And no the main cause of the car industry problems in  the UK, including Honda, is brexit."
"31","@markj113 @robsta2 @Nigel_Farage The car industry may be in trouble globally, why is it the UK that's about to lose pretty much all it manufacturers? You don't think that's due to losing the access to it's largest market? Brexit is screwing up the industry in this country like it or not."
"32","@paul71075 @davidwheldrake @Nigel_Farage No it's not a fact, it's brexiters deluding themselves. Do tell us, if it wasn't about brexit, then why now when they are not changing models. And why were Honda investing in the plant to change it over to electric vehicle production up until a short time ago?"
"33","@Lord_Jareth @grumpykiers @alistwits @LaylaMoran @UKLabour @peoplesvote_uk And that statement was just as fucking stupid. 

Right now, with just over 15 days left, you DO NOT GET TO PICK THE COLOUR OF THE STITCHING on the precise type of leather seats you want in the getaway car. Just get in it and drive, for god's sake.

https://t.co/3TQMs9BafJ"
"34","@BignessAsUsual @StewartMcDonald OK I will humour you. We will say that the act needs timing such that it occurs within a window in which it will both have everyone in the car and leave before the police arrive.

https://t.co/KR4zxFRWCv

We've got a pretty small window, my man."
"35","@colmwhatyalike Damian? Interviewed him once in a train station car park in Ashton. Charming fellow.

Can't speak for Mr Stop Brexit Man Esquire"
"36","ANOTHER car manufacturer blaring the warning siren on Brexit. https://t.co/sX5VfRDI7T"
"37","UK PM May will give parliament a &amp;#39;meaningful&amp;#39; Brexit vote on Tuesday:  spokesman https://t.co/qPbSQoMe0H :Auto pickup by wikyou"
"38","The EU Parliament Had Plenty to Say About Brexit After the U.K. Vote https://t.co/NMSJiGbKYD :Auto pickup by wikyou"
"39","UK PM May&amp;#39;s Brexit deal has reached the end of the road: Boris Johnson https://t.co/A0OEOZyzuM :Auto pickup by wikyou"
"40","EU makes counter-offer as Brexit pressure rises https://t.co/rfndl2ILR5 :Auto pickup by wikyou"
"41","As many as 70 UK opposition Labour lawmakers oppose second Brexit referendum: lawmaker https://t.co/zEippCFxPs :Auto pickup by wikyou"
"42","Toyota warns could leave UK under no-deal Brexit: report https://t.co/SxJTFkOF1x :Auto pickup by wikyou"
"43","How the U.K. Parliament Will Vote on Theresa May’s Brexit Deal https://t.co/BWObhgilOS :Auto pickup by wikyou"
"44","U.K. Parliament Just Turned Down Another Brexit Deal 17 Days From the Deadline https://t.co/NEAecdUYqR :Auto pickup by wikyou"
"45","No-deal or delay? Votes leave Brexit in limbo https://t.co/0DyDQ88vqR :Auto pickup by wikyou"
"46","UK &amp; USA have for decades been constants. Like us or not, you knew what you got. A lot of the world liked the stability that brought. Now the US news streams live the car crash that is the UK parliament on Brexit, and Trump sounds out alternatives to law, order democratic rule. https://t.co/hK8aPTUL3t"
"47","Car crash Liz, this wasn’t her finest hour.
Quality interview from the master Eddie Mair.

@LBC https://t.co/Js3ijj8u9k"
"48","No-deal Brexit: Tariffs to be scrapped on most imports as government finally reveals secret plan, putting UK jobs at risk https://t.co/kt0Mt1Baqp :Auto pickup by wikyou"
"49","Wetherspoon’s chief punches above his weight on a no-deal Brexit https://t.co/xynNOuBsgj :Auto pickup by wikyou"
"50","Evening Standard comment: Chickens come home to roost for Brexit deals; Backwards step at work; New help to stop stalking https://t.co/bGegEij0pQ :Auto pickup by wikyou"
"51","No-deal Brexit: Plans to scrap most import tariffs to be kept secret unless UK about to crash out of EU, business secretary says https://t.co/S9Q8RzYDxy :Auto pickup by wikyou"
"52","Theresa May told Brexit delay &amp;#39;doable&amp;#39; but would lead to &amp;#39;Trump moment&amp;#39; https://t.co/yTmJUQTy3d :Auto pickup by wikyou"
"53","&amp;#39;It sums up Brexit&amp;#39;: Emily Maitlis&amp;#39; side-eye during Brexit interview wins Twitter https://t.co/sHEBeu02HD :Auto pickup by wikyou"
"54","The booze cruise is back as Brits splash the cash in Calais ahead of Brexit https://t.co/eohOvy3JgK :Auto pickup by wikyou"
"55","Restrictions placed on police leave as Brexit looms https://t.co/wJUOYed40a :Auto pickup by wikyou"
"56","What the papers say as MPs prepare for Brexit vote https://t.co/5SCYgPRd1u :Auto pickup by wikyou"
"57","Eurostar announces delays and cancellations in Paris as French customs officials strike over Brexit https://t.co/YR0yQFYgTl :Auto pickup by wikyou"
"58","Brexit news latest: Theresa May faces fresh setback in deal negotiations https://t.co/ZdlLRX9GdA :Auto pickup by wikyou"
"59","‘Terrified’ produce growers in southern Spain brace for Brexit pain https://t.co/a3rZZAM63Q :Auto pickup by wikyou"
"60","&amp;#39;Love Socialism, Hate Brexit&amp;#39; protest on Westminster Bridge https://t.co/DO5Hb4dQoD :Auto pickup by wikyou"
"61","NI ‘could become like Wild West for smugglers under no-deal Brexit plan’ https://t.co/kOajqS3vtO :Auto pickup by wikyou"
"62","Exclusive: Theresa May Facing Soft Brexit Or Second Referendum Under New Plan To Let Parliament Seize Control https://t.co/C0l25DKAXt :Auto pickup by wikyou"
"63","Aston Martin &amp;#39;ready for Brexit&amp;#39; https://t.co/KWlyb1u3VP :Auto pickup by wikyou"
"64","Theresa May desperately attempts to salvage Brexit deal with 48 hours before critical Commons vote https://t.co/NFeySruJCn :Auto pickup by wikyou"
"65","Eurostar predicts &amp;#39;no Brexit delays&amp;#39; as it reports record performance https://t.co/fr3a3IrJJC :Auto pickup by wikyou"
"66","Brexit news latest: Traffic jams at Calais Port caused by protests &amp;apos;could put lorry drivers&amp;apos; lives at risk&amp;apos; https://t.co/ZQ3KGCkm5F :Auto pickup by wikyou"
"67","UK asks EU for citizens&amp;#39; rights protection under no-deal Brexit https://t.co/aJO4RKCfsx :Auto pickup by wikyou"
"68","Britain given &amp;apos;end of week deadline&amp;apos; by Brussels to come up with Brexit plan https://t.co/WrLZBuHcrx :Auto pickup by wikyou"
"69","Theresa May urges MPs to vote for Brexit deal after securing https://t.co/3iuhQsNVTQ :Auto pickup by wikyou"
"70","Public services desperately need investment. But Brexit is all-consuming https://t.co/yX4nzHE8ni :Auto pickup by wikyou"
"71","‘I have drawn you a unicorn’: Donald Tusk shares Brexit message from girl, 6 https://t.co/fXZhsdtK5o :Auto pickup by wikyou"
"72","Activist behind pro-Brexit movie faces prison after admitting fraud https://t.co/VyHX9elY6c :Auto pickup by wikyou"
"73","What amendments have been tabled to no-deal Brexit motion? https://t.co/veqz53mT3u :Auto pickup by wikyou"
"74","How did your MP vote on no-deal Brexit motion? https://t.co/vVYr2l0jsa :Auto pickup by wikyou"
"75","Does Jeremy Corbyn’s meeting with Tory advocates of a Norway-style deal mean we are heading for a soft Brexit? https://t.co/j01BIIX7f4 :Auto pickup by wikyou"
"76","No-deal Brexit still possible even if MPs vote against it – ERG https://t.co/fPc9LYDfIw :Auto pickup by wikyou"
"77","Brexit secretary met Labour MPs championing second referendum plan https://t.co/AbVlpVgskk :Auto pickup by wikyou"
"78","Brexit news latest: Risk of no-deal Brexit has never been higher and we are ready for it, says EU chief negotiator Michel Barnier https://t.co/tg3Jn3vysn :Auto pickup by wikyou"
"79","No-deal Brexit could damage Scotland’s housing sector, minister warns https://t.co/hMs953x86f :Auto pickup by wikyou"
"80","MPs reject no-deal Brexit, but what happens next? https://t.co/0hdemE4oxa :Auto pickup by wikyou"
"81","The left-wing case for Brexit is becoming more ridiculous by the day https://t.co/9v7nyw0rZW :Auto pickup by wikyou"
"82","Esther McVey Slammed For Sharing &amp;#039;Debunked&amp;#039; Brexit Article https://t.co/TDW7NtjcBN :Auto pickup by wikyou"
"83","How a post-Brexit trade deal with the US could make life-saving drugs unaffordable for the NHS https://t.co/GSMY3XdZoE :Auto pickup by wikyou"
"84","Pound to Euro exchange rate: Sterling plunges as Geoffrey Cox delivers Brexit blow to Theresa May https://t.co/P4kvJ2noC4 :Auto pickup by wikyou"
"85","@GMB Brexit is a car crash whoever's driving. But it's not just about Brexit, it's about austerity, it's about political choices, it's about tax dodgers, it's about climate change, it's about public services. Replace her with another Tory and nothing changes #GeneralElectionNow"
"86","I've not watched the news today, but let me guess, #Brexit is still a car crash, May is still PM, the media is still blaming Corbyn, and anything else that's happening didn't even get a mention."
"87","@Plan10FromSpace He is honestly to put it lightly.
An absolute tosser.
He continue with the phrase bollocks to brexit and has stickers of it over his car.
The amount of time he has promised to step down as speaker after outrage yet doesn't.
And of course the daily
""I didn't vote for brexit"""
"88","@alijay036 I'm backing Brexit because it was the referendum result. What about you? PS Love the car"
"89","How Silicon Valley caused Brexit: https://t.co/R6kLHeGmdz"
"90","Just got home after watching a film about the aftermath of the WWII set in Germany to find a letter from my car insurance provider informing me that I’ll need to apply for a green card for driving abroad if Brexit goes ahead. Oh the irony."
"91","@Streety1271 @MobileJustice @afneil ....actually end up in a worse situation.  When buying a house you’d only pull out if you had somewhere to live still.  When buying a car you’d not pull out if it left you transport less.unfortunately no deal Brexit only helps the disaster capitalists, nobody else"
"92","I feel I need an auto retweet set up for MH “Describing someone as an architect of Brexit is like describing the Luftwaffe as an architect of London.” https://t.co/QQ7I8mZ8eR"
"93","You can clearly see if it’s a no deal brexit the fishing thing will probably severely damage macron. The car thing will probably end merkel’s rule"
"94","@mrjamesob can we make a deal please? Tomorrow is Friday I’m going to be stuck in a vehicle for most of the day. Don’t make my day worse by talking about brexit again it’s been 2 years of it and they’ve asked for an extension 1 day off won’t make a difference if 2 years hasn’t"
"95","Japanese auto makers (except Toyota) are screwed, not because of Brexit but because of failure to work fast enough to countenance the threat of Google and Apple https://t.co/0GQkdzrua6"
"96","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/AmMfJSqIan"
"97","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit https://t.co/Nk1UYNVHfg"
"98","#Brexit casts shadow over stands at Geneva car show https://t.co/euUKIB8FyM"
"99","#brexit chaos last few days is like seeing a multi vehicle pile up on M1 all the way from London to Leeds. After 10 or 15 miles, you draw the conclusion that everyone is f*cked #BrexitMayhem #eu"
"100","Brexit, car finance and PCP deals: what you need to know | CAR Magazine https://t.co/sfw4MNGKKQ #se25 #croydon #cars #Beckenham #BromleyFL #Motherhood #penge #cplocal... https://t.co/YUmlH8fIH2"
"101","International Driving Permit UK: will I need a special licence to drive abroad after Brexit? | CAR Magazine https://t.co/SeMi1l7NVg #se25 #croydon #cars... https://t.co/YLISTXoCjB"
"102","@OfArgyle @RichieAllenShow The EU is a vehicle for total control and dictatorship to Europe with no way to reject their law, legislation and policy. The EU is designed to be dictated to by a world government. They've not made a mess of Brexit just because of incompetence."
"103","#brexit leavers are like that exspouse who wants to be friends with benefits, Eat all your food, drive your car and sleep with your friends, while wanting a divorce."
"104","Britain's economy custard and so on if no agreement Brexit fears recession Sterling crash https://t.co/cmW8Vth2Ej :Auto pickup by wikyou"
"105","Trump was surprised by the Brexit mess and pointed out that Wentrisan didn't follow the advice https://t.co/mdkP4AFk08 :Auto pickup by wikyou"
"106","Inverness Bank: No-deal Brexit could hit Europe https://t.co/zbVd1zlOFY :Auto pickup by wikyou"
"107","UK House of Commons rejects ' hard Brexit ' https://t.co/rmZPEPtBEX :Auto pickup by wikyou"
"108","Wentrisan is reported to have taken the Brexit deal to a vote in the lower house of Congress for the 3rd time… https://t.co/DS8cYkXhC1 :Auto pickup by wikyou"
"109","Whether Britain's fiscal phase emphasizes the risk of economic damage before the hard Brexit vote https://t.co/t1sJcZNg3q :Auto pickup by wikyou"
"110","Brexit deadline for UK to negotiate no breakthrough with EU https://t.co/pUvR2Zpo57 :Auto pickup by wikyou"
"111","Britain to take vote on Brexit deal to break up into a critical moment for Britain and Europe https://t.co/pT8LO16INi :Auto pickup by wikyou"
"112","UK Congress rejects hard Brexit analysis of sterling at 1.3 level supported https://t.co/PhpoJK2q43 :Auto pickup by wikyou"
"113","@IanBlackfordMP @theresa_may Can Scotland look to invade England and rescue us from the shambles that is the UK parliament with a country and govt held hostage by ERG fanatics. #Brexit was a car crash in slow motion from the day the referendum was called! #RevokeArticle50Now"
"114","@AllisterHeath @Telegraph Recent comments in German Press express concern that the UK, Germany’s biggest car customer in Europe will add 10% to the price of their cars post Brexit. I.e. a VW Golf will cost €2500 more and €6,000 more for a BMW 5
Sounds great news for Toyota, Kia Honda etc"
"115","Finally tonight 202 MPs voted for a total car crash #BrexitShambles whilst the rest have stalled the car on the #Brexit cliff edge. Gone for #BrexitMayhem every one. Oh, when will they ever learn?"
"116","Theresa May's Brexit deal crushed by MPs AGAIN meaning we're no nearer to quitting EU after 993 days https://t.co/HyCH09roDs"
"117","@Nigel_Farage @melanoma321 Her orders from the EU were to screw up Brexit so it would not happen. She done a golly good job!"
"118","Toldya!  The EU is never going to let go and the UK no longer has the balls to just stand up and walk away.
British PM Theresa May suffers another major defeat on revised Brexit deal, as clock ticks down https://t.co/JpjKTpL524 #FoxNews"
"119","Her orders from the EU were to screw up so the UK could not leave! Golly Good Job !!
BBC News - Brexit talks deadlocked day before Commons vote on May's deal https://t.co/Tp3UI2vtfq"
"120","All the squabbling and bickering over Brexit will seem so petty in retrospect. When Europe has finished submitting to Sharia and things are simpler with a Mufti in Buckingham and gays being lynched from the Eiffel Tower, https://t.co/V7FjQe60MT"
"121","May done as instructed by the EU..fuck it up so you can not leave. The EU will never let UK go unless the UK gets some balls on loan and just walks away.
Britain faces TWO YEARS of Brexit limbo unless Theresa May wins vote https://t.co/csWdAaN47c via @MailOnline"
"122","@LeaveEUOfficial @CllrBSilvester @Jacob_Rees_Mogg #Brexit will add to his wealth thats why he probably wants it. Do the people at #honda or other car companies want #Brexit NO. https://t.co/vhgq5GIQsR"
"123","Here they come! The German car makers are finally going to save Brexit by oh... https://t.co/KQIacGcVMN"
"124","“The day after we leave we will hold all the car- oh...”

Unfortunately a lot of people still believe there’s a Brexit unicorn, but they’re being prevented from getting it. Sad. https://t.co/urOBwhJMi5"
"125","The ""Irish Car Bomb"" explicitly refers to decades of political violence in Northern Ireland and the UK. ""Brexit Bomb"" is just a play on dumb politics there."
"126","Good time for this - using the powers vested in me by this dumb app - the ""Irish Car Bomb"" drink shall now be called a ""Brexit Bomb"". https://t.co/Ri6j2RobWc"
"127","@Angela_J_Bailey @Corky_Brexit @AlanJTMarshall @RossThomson_MP @HouseofCommons Car manufacturing done in the EU and sold to UK buyers at a higher price than EU residents. The electric car is the future and car makers are changing to reflect that and a flow down in markets outside the EU. It has nothing to do with Brexit &amp; remaining won’t change things"
"128","A country in chaos: Oh **UK! What next for Brexit? https://t.co/pFCqltpr90 via @TheEconomist"
"129","@HouseofCommons The dwarf chooses those that go AGAINST Brexit, even if they have LESS support than those that SUPPORT Brexit - which he blocks. As HIS car sticker says ""Boll*cks to Brexit"" is his motto"
"130","#Brexit is the best example for the figurative ""car crash in slow motion"""
"131","just had a lovely conv with car insurance ppl who told me if #nodeal #brexit goes ahead my UK licence will no longer be valid in 15 days and face conviction if I continue to drive. Currently scrambling for Irish license application..."
"132","@RemainerNow @SkyNewsBreak You do realise that the car industry is slowing down and cuts are being made in France, Italy, Germany too?

Those companies that have mention #Brexit talk about uncertainty (which Remainers seem obsessed with making even more of) or a No Deal #Brexit not necessarily us leaving."
"133","@BlueRockFox @SkyNewsBreak But Nissan and Honda have said it's not because of #Brexit

Car factories have been shut down and moved for ages?

Ford 2012
Honda 2009
Vauxhall 2002
Peugeot 2000

Major UK factories shut down and production moved abroad. All long before #Brexit"
"134","@LibDems What would be the options of a #PeoplesVote Remain vs @theresa_may's Deal? That's not the same thing at all. The Deal is a withdrawal deal.

A bit like voting on a holiday destination vs who's car to go in? #Brexit"
"135","@Haggis_UK @jessphillips When we leave on 29th March with No Deal Remainers will only have themselves to blame. If the EU Referendum was a vote on a holiday destination then May's Deal is about how we get there. Time we leave, who's car etc #Brexit"
"136","@bernardwalton @gavinesler @JohnnyMercerUK The last referendum was akin to voting for a holiday destination. The withdrawal deal is akin to how we get there ie time, date, who's car etc.

You can't have a vote on the holiday we didn't want vs the travel arrangements #PeoplesVote #Brexit"
"137","Classic car industrys Trump and Brexit roadblock #donaldtrump #unitedstatesofamerica https://t.co/tcqZJHZoLQ https://t.co/t2vQpguB37"
"138","The six Labour MPs who defeated the Benn amendments and probably will help deliver the Tory Brexit. Perhaps they can go and visit car factories to explain why people are going to lose their jobs. https://t.co/caMj0PGreE"
"139","@bertwyn @VaughanRoderick I’m in Wales, looking to go to France soon, but do I need a green card for my car insurance? Do I need two International Driving Permits (France and Spain have different requirements)? How do I get a new contract in Europe when nobody even mentions post Brexit Services!"
"140","Carmageddon? #UK auto after #Brexit - https://t.co/Mq71xgDYMo @UKandEU @AMCongress19"
"141","13 #Automotive #Brexit myths - busted https://t.co/g78dai66hg via @FleetPointUK"
"142","#Brexit uncertainty has impacted consumer confidence with almost half of all #carbuyers delaying the purchase of their next vehicle for two years or more, according to @BuyaCar - https://t.co/PQrDzcckcr https://t.co/pzAqaZC5Di"
"143","In attempt to protect the #AutomotiveSector and its manufacturing operations - #CarParts from the #EU would avoid import tariffs in no deal #Brexit scenario - https://t.co/FBmMMH5Vrj"
"144","#BuyACar says: #Brexit uncertainty has impacted consumer confidence, with 47.5% intending to delay the purchase of their new car for AT LEAST 2 YEARS. The figures spell a tough market in the immediate aftermath of Brexit. #AutomotiveRetail https://t.co/fMZ8Lfa3r3 https://t.co/xLLQGS2j8G"
"145","@yorkybrum73 @CommonSenseNo1 @HouseofCommons Someone impartial like he’s supposed to be would be nice, basically someone who doesn’t drive round with bollocks to brexit on his car."
"146","@MPSRTPC @metpoliceuk @TfL @MayorofLondon @HarrietHarman As a life long tax payer, I find it unfair that you’re unable &amp; unwilling to detect &amp; cease foreign, uninsured &amp; untaxed cars. Vid of criminals driving a stolen car with Moldova number plates on Dunton Rd in London. #Brexit https://t.co/ksy8PuQ6ge"
"147","Brexit means more people are delaying buying a new car https://t.co/mh3CYhc9f7"
"148","Why a no-deal Brexit threatens thousands of car repair firms  https://t.co/psFhuzI7e6"
"149","Documentary on present &amp; future development of electric cars focusing particularly on Tesla, working conditions (German v American) use of German technology &amp; competition. Just wondering if UK auto industry will be a disappearing ev rear view Brexit image? https://t.co/KPTg7uSW9i"
"150","@etheriumcell @dizun9 @BBCPolitics without the attendance of the Brexit Minister (who subsequently resigned) before she briefed her cabinet at Chequers leaves her position fatally compromised. She has negotiated like a person going into a car dealership who says - I want that car and you can charge me anything /2"
"151","I'm no expert but I can't see how telling the other side of the negotiation table what you will and won't do before the deadline will be positive... <U+0001F914> #Brexit 
It's like telling a car dealer you can't leave without buying a car then being confused why the price remains high..."
"152","Nachos for lunch. Does Brexit mean we all needed to see."
"153","After Brexit, there will be trialed in a blanket."
"154","After Brexit, there will be a smart move but there really were some awful haircuts at uni."
"155","Man deserves a new inhaler before brexit."
"156","37 days to Brexit. Me watching Grace play Super Mario Bros 2."
"157","After Brexit, there will be trialed in a minute."
"158","Quavo's next track is set to feature James Corden running out of chicken is like James Corden is well brexit."
"159","Never fit on a Korg M1. Another victim of brexit is well steampunk."
"160","AFTER BREXIT, THERE WILL BE SMALL."
"161","71 days to brexit."
"162","Does Brexit mean we all needed to see."
"163","I did not steal the cookies from the cookie jar have been victim of brexit."
"164","POST BREXIT UK."
"165","After Brexit, there will be giving that one a hard pass."
"166","I got a new inhaler before brexit hits."
"167","77 days to brexit."
"168","Does Brexit mean we all needed to see was Larry Crowne starring Tom Hanks."
"169","All this talk of brexit is well steampunk."
"170","71 days to Brexit. They'll always be Christmas Melting Men to me rn."
"171","They desperately want me to move to Finland before brexit."
"172","Classic car industry fears Trump and Brexit roadblock - BBC News https://t.co/I0HbCO6r6f"
"173","@JamesPearson25 @MartinGambrell @SkyNewsBreak Which car manufacturers have decided to leave the UK as a result of #Brexit, compared to those Japanese manufacturers who decided to move manufacturing back to Japan as a result of the EU’s FTA with Japan, resulting in tariff free imports on vehicle imports in the EU? <U+0001F914>"
"174","@PoetTaxiDriver @jeremycorbyn @unitetheunion There is literally no logic to your claim that #Brexit caused this.

The EU &amp; Japan signed a free trade agreement to ensure that Japanese car imports are now tariff free. That means that Honda can protect domestic jobs in Japan, and still sell their cars to the EU for a profit."
"175","May’s Deal is not Leaving! It may look like it to get Tories through next election but electorate has seen it’s just a vehicle to go back in to EU as soon as practical! The only way we actually Leave is No Deal WTO! - a Deal wasn’t on the ballot and is the excuse to stop Brexit! https://t.co/H5wsfevaDP"
"176","Nothing lovely about Cabinet Ministers who try to derail Brexit- the public wants her gone! This is likely being used as the vehicle to do it as she has powerful Establishment friends! https://t.co/5uXXjm8won"
"177","Your Deal is NOT Brexit- not one of the 17.4m that voted Leave believe your BRINO is Leaving- it’s a vehicle to sneak back in without having really left in the first place! - It will be Voted Down!! - Leave means Leave not Merkels Deal. https://t.co/eETPMz06dK"
"178","@AfcRoberto @DavidRWallace87 @carolecadwalla @patrickwintour Does that include inflicting medicine and cancer treatment shortages on others? Does that include large numbers of car workers losing their jobs? Brexit at any cost? Where would you personally draw the line, given how incompetent the govt are at organising things?"
"179","@campbellclaret @peoplesvote_uk @CarolineFlintMP Caroline Flint will still advocate Brexit when the last foreign car manufacturer pulls out"
"180","@Nigel_Farage All for U starting a new Brexit party but the name makes you sound like a one issue party. If you want to snap up leading Brexiteers from other parties you need a name that is neutral eg The Democratic Independence Party."
"181","@DavidDavisMP Parliament stops Brexit how do you think the next general election - if the EU allows us to have - will pan without blood-shed? Civil wars have started for less. I think the collective terms for these pygmy MP's is scaredy cats &amp; that is being polite"
"182","@JuliaHB1 The local Tories are having a ""keep calm and party"" party on 29th. Optimism evidently now comes in very small doses these days. However, by 29th if Brexit is what Remain MP's want (BRINO) calm will surely be history Thanks so much for your unstinting support."
"183","@Jacob_Rees_Mogg I have advised Nigel Farage to get busy selecting candidates for his new Brexit Party asap. In the meantime lets hope the present anti-democratic parliament holds its course so they can be replaced by MP's in tune with the people
This is no Tory Party U belong to"
"184","Is #Brexit uncertainty boosting RVs of young #usedcars?

Analysis by @NeilKing23
https://t.co/ehkx0BIH48

Leveraging #data from <U+27A1><U+FE0F> #ResidualValueIntelligence 
Uniquely positioned to offer a Pan-European view of the market covering #EU5 <U+0001F1EC><U+0001F1E7><U+0001F1E9><U+0001F1EA><U+0001F1EB><U+0001F1F7><U+0001F1EA><U+0001F1F8><U+0001F1EE><U+0001F1F9>

#Automotive #NoDeal #UK #Cars https://t.co/qxIgtdhjd0"
"185","#UK #newcarmarket grows in February as improving supply outweighs #Brexit uncertainty 

”total of 81,969 new cars were registered on UK roads in February” Cont. 

Read more: https://t.co/ucUqucE20F 

@SMMT #Automotive #NewCars #Cars #CarIndustry #WLTP #automotiveindustry https://t.co/iLQS1jVGPO"
"186","Is #Brexit uncertainty boosting RVs of young #usedcars? 

“the view Autovista expressed back in January, that consumers may opt for a used car more than a #newcar given the current climate of uncertainty” Cont. 

<U+27A1><U+FE0F> https://t.co/ehkx0BIH48 
#ResidualValue #Automotive #UK 
#nodeal https://t.co/R6qoWUzfII"
