,x
39,"UK factories stockpiling at record rates ahead of Brexit, says survey - Sky News: UK factories… https://t.co/1XcTnHuB2f #Brexit #News"
40,"@DonovanTim @jodyaberdein I'm not denying ""1hrs work is classed as employment"" by the gov (bloody retarded rule!).

I'm telling you there aren't millions of 'employed' ppl who are only working a few hrs a week.

Look up average hrs worked etc...

https://t.co/DKTG3tGBzC"
41,"If you don't follow my logic.

If EU workers rights exceed what UK MPs want to offer we should find lots of UK laws only meeting the minimum required EU rules.

For example the UK annual leave is above the EU minimum of 4 weeks. The UK could reduce it now as an EU member.🤔"
42,"@NRoolz @Arthur92236639 Record UK employment figures is good news: met with, it's all zero hour contracts or we haven't left the EU yet.🤷‍♂️

Please don't be thick &amp; say the stats are fake because a cpl of hrs work is considered employment. Before saying something so stupid look up average hrs worked.🤔"
43,"There's a strong Remain narrative the EU protects UK workers rights far better than UK laws &amp; post #Brexit workers rights will be stripped away!

If this is true Remainers should be able to easily name 5 workers rights where UK law is the absolute bare minimum EU requirements.🤔 https://t.co/BX1wSnz701"
44,"@Insinuare @Idontmind64 ""Protecting jobs and workers, or protecting profits?""

Can those two be seperated in a capitalist world?

Protect jobs/workers over profits &amp; investment decreases.

Protect profits over jobs/workers &amp; society is damaged.

There isn't workers OR profits, they are linked.🤔"
45,Brexit: May to offer workers' rights pledges to gain Labour support - The Guardian: Brexit: May to… https://t.co/wuT6mtCOQz #Brexit #News
46,"UK-Southern African Economic Partnership Agreement is a key element of a package of measures to boost African growth, Africa's long-term success matters to the UK, so it is in the world's interest to help secure African jobs &amp; growth. https://t.co/BK8potMKRs"
47,@GrumpyHarri Are you concerned about jobs being lost around the world to automation over the next fifty yrs &amp; how the EU will cope with an economic migration crisis: millions moving for work?
48,"@Dave4Logic @Idontmind64 UK-Southern African Economic Partnership Agreement is a key element of a package of measures to boost African growth, Africa's long-term success matters to the UK, so it is in the world's interest to help secure African jobs &amp; growth. https://t.co/73WDZexgRu"
49,Brexit: Labour accuses Theresa May of ‘empty rhetoric’ on workers’ rights amid changes to vital… https://t.co/wBxZvNmup0 #Brexit #News
50,"@Idontmind64 My big reason for voting Leave is economic. I'm concerned when automation/AI has taken masses of jobs around the world the EU won't adapt quickly enough to the crisis.

If I'm right #Brexit allows the UK to adapt faster, if I'm wrong we'll still be trading with a prosperous EU.👍"
51,"@SarahLeeNotCake @gray_jones26 Erm, the problem is the EU is focussed on the TRADE OF GOODS. The UK &amp; France have economies which are 80% services based.

Can you see the problem?

We could travel back in time &amp; restart heavy industry or accept our economy i a poor match for the EU &amp; move on."
52,No-deal Brexit 'could bring return of low-welfare egg imports' - The Guardian: No-deal Brexit 'could… https://t.co/wH6Zy6K23b #Brexit #News
53,"@MarkSabti Erm, calling Brits lazy is not the same as saying we have a productivity problem.

Most new jobs are filled by migrants yet productivity hasn't improved over the past decade. If the problem is with ""lazy"" British workers why are new migrant workers NOT improving productivity?🤔"
54,"@Hartlands76 @IndyScot_News @JustinTomlinson Look at these narratives logically.

Behind all these stats are real ppl, when you believe a conspiracy like narrative consider the ppl.

Most new jobs are filled by migrants, if employment stats are BS then immigration stats have to be BS because they can't claim full benefits."
55,Business owner fights back tears whilst talking about the damage that Brexit could do to her company… https://t.co/9QAM7hCamt #Brexit #News
56,"@IndyScot_News @JustinTomlinson There's a false narrative most new jobs are zero hrs, it peaked in 2016 at ~900K &amp; has started falling, last data 844K.

Zero hour contracts have been exploited by businesses, but not by the gov to hide unemployed ppl. There's a stat up to 72% on zero hrs don't want more hrs.&gt;"
57,"@Hartlands76 @IndyScot_News @JustinTomlinson This https://t.co/qGC8DTn5XK from 3 1/2yrs ago?

That's based on this calculation https://t.co/Yzdxumo5B4 Since then the gov has basterdised the ""minimum wage"" to be called the ""national living wage"" confusing the debate.

I thought you were referring to the national living wage."
58,"@IndyScot_News @JustinTomlinson If there was an issue with hundreds of thousands of ppl only working 1hr a week to fudge the unemployment figures it would show up in the average hours worked.

https://t.co/VBYvNhw0KC

It's a stupid rule, but it's not being used to fudge the employment stats."
59,"@st_mulberry Why are you blaming Brexit for Japanese car makers moving out of the EU when the new EU-Japan FTA means they can import cars from Japan with zero tariffs?

Did #Brexit create the Japan-EU FTA?

Would appear for that industry the FTA is damaging for the EU.

Try to use facts.🤔"
60,"@adaliabooks The economy isn't struggling! The UK economy grew faster in 2018 than both France &amp; Germany. Considering the #Brexit uncertainty that's fecking awesome!

Businesses aren't failing, they have created a record number of jobs, we have 900K job vacancies NOW!🤔"
61,Workers rights: MPs promised vote on changes after Brexit - BBC News: - Workers rights: MPs promised… https://t.co/KENVz8cDkF #Brexit #News
62,"@Dave4Logic @Idontmind64 An arrangement which helps boost British trade with Australia will continue when the UK leaves the European Union, supporting jobs in both countries. https://t.co/1JVOFsYCWk"
63,Workers rights: MPs promised vote on changes after Brexit - BBC News: Workers rights: MPs promised… https://t.co/oLzRoklXHq #Brexit #News
64,"@Idontmind64 What about waiting until it has actually happened before it becomes Project Reality.

For example #ProjectFear forecast a recession &amp; up to 820K jobs lost within 2yrs of voting Leave. 2+yrs later &amp; it didn't happen, it was BS, so not Project Reality.

Do you see how it works?🤔 https://t.co/97wkrcAwxd"
65,The Guardian view on workers’ rights: endangered by Brexit - The Guardian: The Guardian view on… https://t.co/rvor8RrW8b #Brexit #News
66,"We'd see with workers rights what we saw with giving prisoners the right to vote.

The ECHR said the UK couldn't simply ban prisoners from voting in elections. The UK fought long &amp; hard to stop prisoners from voting, they lost &amp; offered the absolute bare minimum."
67,"@Hartlands76 @IndyScot_News @JustinTomlinson If true (not checked), it has no bearing on the false narrative of fudged employment stats: the belief hundreds of thousands (millions?) are working a few hrs a week, so are effectively unemployed.

Average hrs worked is stable, zero hr contracts peaked in 2016 around 900K."
68,BREXIT SHOCK: Germany facing massive job losses - UK's hard exit fears mount - Express: BREXIT SHOCK… https://t.co/GsvA95WRvr #Brexit #News
69,"@MarkSabti Let me ask you a straight forward question.

Are British workers lazier than German workers?

Feel free to replace German workers with any other country you want to compare us to."
70,"@Hartlands76 @IndyScot_News @JustinTomlinson Increased employment isn't Tory spin.

Consider if employment is down what are the 1/4 million plus new migrants who move to the UK each year doing here?

Your narrative would mean hundreds of thousands of migrants are claiming benefits, otherwise they'd have no money for food.🤔"
71,"How will next week’s Brexit votes affect the UK economy, jobs and wages? - The Independent: How will… https://t.co/B8v3tdcnYS #Brexit #News"
72,"@IndyScot_News @JustinTomlinson Since most new jobs are filled by migrant workers it means we'd have hundreds of thousands of migrants only working 1hr a week!

If this was the case (it's total BS) it means to survive they'd have to be living on benefits.

Can you see the problem with this 1hr work narrative?🤔"
73,"@IndyScot_News @JustinTomlinson &gt;Even if we assume only 50% are happy with their hrs &amp; the remaining 50% are ALL working a few hrs a week (which is a ridiculous assumption), it would mean no more than 422K employed ppl are really unemployed.

Considering the # of new jobs filled each yr it wouldn't change much&gt;"
74,PMQs: May and Corbyn clash on knife crime crisis - Politics live - The Guardian: PMQs: May and… https://t.co/uVTYwyKRPw #Brexit #News
75,"Similar to Remains #ProjectFear ""jobs at risk"" BS where they take the worst case scenario job losses (ALL jobs involved in a sector etc) &amp; make it sound credible!🤷‍♂️

It's like saying the 30M+ jobs in the UK are at risk from #Brexit, technically true, but it's OTT misleading BS."
76,"@NoCake4Brexit @Idontmind64 You have highlighted an issue, the UK isn't investing in automation.

The question you should be asking: is it partially due to easy access to a cheap throwaway EU workforce?

Why invest in innovative automation which improves productivity when you can take advantage of workers?"
77,"@TimWardCam @eekamouse1025 Oh boy, you think India with a population of 1.3bn expects full on FOM with the UK? Seriously?

At least be serious otherwise these debates get stupid. India wants more VISAS, not FOM. I've no problem with tens of thousands of tech savvy Indian workers entering the UK economy.👍"
78,CBI boss issues GLOOMY Brexit warning on BBC Newsnight - ‘absolutely CRIPPLING’ firms - Express: CBI… https://t.co/VDY69tdQTr #Brexit #News
79,"@adaliabooks You could make that argument for after the financial crash, the Tory government could have used the great recession as an excuse to strip away workers rights or the minimum wage. Drop rights to the bare EU minimum.

It didn't happen then, why would it happen because of #Brexit?"
80,UK construction industry contracts on Brexit uncertainty - Financial Times: UK construction industry… https://t.co/sX2eR4mPmS #Brexit #News
81,"@adaliabooks &gt;The Global Britain report uses April 2019 minimum wage at £8.21.

Don't know if they did the same for other EU member states, would be worth checking: if they've use April 2019 UK min wage &amp; 2018 EU min wages that's misleading.

Netherlands seems higher
https://t.co/FtGcmkdgpF"
82,"@MaximilianJans2 @Deborah04315412 1. What job loses? The UK is currently seeing record employment levels. Jobs are lost &amp; jobs are created, sine the Brexit vote more have been created than lost.

Interestingly we have a record number of job vacancies NOW!

https://t.co/nLZmpsDtoj"
83,"@adaliabooks It sounds like you expect the Tories to remain in power forever!

The Labour party is a mess right now (I can't vote for a Corbyn Labour☹️), but that will change.

If the Tories damage workers rights WE THE PEOPLE can vote them out.

What if the EU goes far-right, what can WE do?"
84,Unions attack May's Brexit pledge on workers’ rights - The Guardian: Unions attack May's Brexit… https://t.co/GXRpk3wRNr #Brexit #News
85,"@Hartlands76 @simonmanytrees @IndyScot_News @JustinTomlinson That's called underemployment not unemployment.

ONS collects underemployment data https://t.co/5E53sTgOLY there is no good reason to consider underemployment as the same as unemployment.

Consider some workers work too many hrs as well, should we consider their hrs as well?&gt;"
86,"This is the Jurrasic Park equivalent of Corbyn watching Theresa May fuck up her way through #Brexit and going ""Yeah but my jobs first #Brexit will be great. I'll defo control the raptors &amp; the T-Rex &amp; shit....."" https://t.co/be7l7yrYIM"
87,"If they were in proper jobs both May and Corbyn would have been sacked for incompetence long ago. 
#brexit"
88,"Brexit forces banks to relocate jobs and staff to Europe benefiting Dublin, Frankfurt, Luxembourg and Paris

https://t.co/Jkt3vhwV0h  #Brexit #Banking #jobs #Dublin #London #Frankfurt"
89,"@BarryGardiner @carolJhedges @MettaFilms 2/2 Meanwhile, my 96 yr old mum, who has late stage Parkinsons &amp; is YOUR CONSTITUENT will lose carers whom she can communicate with and who understand her complex medical needs due to loss of FOM for care workers. This Brexit will be catastrophic for the old, vulnerable and needy"
90,@BootleggersLP @JMPSimor I sympathise. 2 ways Brexit's likely to cost me my 30yr career: fewer care staff locally will likely force me to leave work to care for a relative. Abrupt reduction of EU students to UK universities (happening now) will strike at the heart of the sector and inevitably cost jobs.
91,This. Exactly. @carersUK @Women4PV  Care worker shortage after Brexit 'will force women to quit jobs' https://t.co/bcjG9jHWNt
92,#Unions attack #May's #Brexit pledge on #workersrights | #Politics | The Guardian https://t.co/wY39FNh4cM
93,The Risk to Workers' Rights after #Brexit: Daily Brief  #May’s Thin Gruel on #WorkersRights | Human Rights Watch #HRW https://t.co/jiQKnT05Ou
94,"@IanKingSky @SkyNews @RBI @SkyIanKingLive Project fear in full swing again I see, more people work in our financial industry today that they did pre Brexit, the only threat to London is New York, there are no EU countries that can match London financial capabilities. None. https://t.co/skZ5344fnX"
95,"@qacona @DJBrabrook @bencorke @frankotron @roncufley @NickyMorgan01 But they haven't just lost their jobs, they are not leaving for another 3 years, &amp; far more jobs are coming back the other way. Since the Brexit vote we now have the lowest unemployment rate since 1975 😊"
96,"FX outlook from Brown Brothers
The dollar is seeing some profit-taking after the jobs report   
The US data schedule is jam-packed this week 
The UK parliament is scheduled to vote on May’s Brexit plan Tuesday  
Bank of Japan meets Friday and is expected to keep policy on hold"
97,Those #brexit protestors at #westminster atm - haven't you got jobs to go to?!?!!
98,McB: @HMRCgovuk publishes guidance on #accounting for #VAT in event of a #nodeal #Brexit  https://t.co/S6iXSQPSqG https://t.co/Kp8UYPMXsd
99,Government announces plans to protect #workersrights post #Brexit - via @EmployeeBenefit https://t.co/NRL9ZBG6KK
100,"Today we are in Lille participating in an @HMRCgovuk and @hautsdefranceEU #Brexit preparation meeting. A range of speakers from both sides of the channel, and guests from across the industry https://t.co/wDE0MC69o9"
101,"#Migration from India soars as businesses plan for life beyond #Brexit

#IT &amp; #healthcare sectors sourcing talent from south Asia – but number of #EU workers continues to drop dramatically

https://t.co/kfWRQFMm1s #HRnews #HR #recruitment #EUworkers"
102,"MPs offered vote on adopting future EU employment law after Brexit

But unions dismiss government’s bid to protect workers’ rights as ‘flimsy procedural tweaks’, with entitlements still ‘under threat’

https://t.co/K3egPjonkf @RECpress @unisontweets #HRnews #Brexit #UKemplaw"
103,"EU migration falls to lowest level in a decade

Experts urge employers to take immediate action after figures show ‘confused’ workers are shunning the UK  

https://t.co/adcRzaoLYR @ONS @MigrateUK #HRnews #Brexit"
104,"MPs offered vote on adopting future EU employment law after Brexit

But unions dismiss government’s bid to protect workers’ rights as ‘flimsy procedural tweaks’, with entitlements still ‘under threat’

https://t.co/K3egPjFYIP @RECpress @unisontweets #HRnews #Brexit #UKemplaw"
105,UK auto industry under siege as Brexit pressure escalates - ABC News https://t.co/40kwWi5kbg
106,"British Government Is Quietly 'Watering Down' Workers' Rights in Brexit Agreement, Union Warns - Newsweek https://t.co/iLqMee6Yxb"
107,@McEwanMorton Its not #Brexit Carmakers are in a battle to survive #Uber #Waymo #Lyft and new drive train tech make current car designs extinct. Only 2 or 3 global makers will survive if world remains mostly peaceful. Repatriation of jobs is logical for foreign carmakers to make the changes.
108,@Honda_UK The 2019 CR-V is not popular in the UK since #Honda decided to close #hondaswindon You can ship all your cars back to Japan along with the #Swindon jobs. You and your products are no longer welcome or wanted. #BoycottHonda  #Brexit
109,"@brexit_politics #AstonMartin to stay in UK after #Brexit because they can't afford to move or invest in new drivetrain technology. The IPO is done, the spivs have made their money and #AML will repeat history, go bankrupt and be bought by a foreign company. AM badged Toyota has been done before."
110,@Honda_UK Ship all your cars back to Japan with the jobs you are taking away from #Swindon After your decision over #hondaswindon your company and products are no longer welcome or wanted. #Brexit #NoDeal #BoycottHonda
111,@Honda_UK Book a test drive and put the car straight into the #English channel and watch it float back to #Japan. #Honda want to repatriate the jobs of #hondaswindon then repatriate the cars. #Honda cars are no longer welcome here. #Brexit
112,"@EyeEdinburgh @srcoxlive @NickStevenson63 @touchedinhead @sunick51 @EmilTschepp @Ciolfilicious1 @brianbloop @Davidmetroland @jaypwright @David_Vaporium @Andywilds1 @JamesNNorm @cjcvo @tolethorpe @itsapointofview @nicko00127 @Holdstk @Roblev0 @cottageireland @f505eb72b9cd493 @timo_takkinen @ONEnTWOnFREEDOM @fusilier50 @PostTruthPaul @AlanEngland4 @jamesvanwilson @ticketsjaved @Itisallacademic @gerald_gouriet @BILDERBERG_GP @mirandoch @fccologne4eva @fascinatorfun @mac_puck @jetjag100 @jeremythomas212 @hamster_hami @blueunicornmoon @k3books @brianw44 @Nealb2010 @noneedforgreed @leweisnlied @brexit_politics @MartinRemains @Jim_Cornelius @forster_keith @JohnRod76512584 @susanstanwix #AstonMartin are finished even if they don't know it yet. The IPO got the spivs that owned the company their money back and the company will repeat its history and go bankrupt to be sold for a £1 to another foreign owner. It's not #Brexit it's evolution.
https://t.co/99bczktFaK"
113,@SmartyCurtis @AstonMartinWork @AndyatAston It is a tease. Why buy at list price when one can buy one from the official receiver when the company goes bankrupt after #Brexit #AstonMartin
114,@10DowningStreet @theresa_may Brexit is already killing the British dairy industry. The British lamb industry is fearing for the future. You are sabotaging British farming and manufacturing #RevokeArticle50 #STOPBREXIT
115,"Lying #theresamay will betray any promises she makes for working people at the earliest opportunity... the #conservative party - for the few, not the many | Unions attack May's #Brexit pledge on workers’ rights https://t.co/tJRF5Ku2ot"
116,"The Atlantic Daily: The Legacies of Two ‘Bloody Sundays’: Plus: A Chinese company sues the U.S. government, a dispatch from Ireland weeks before the Brexit deadline, eating the same lunch every single day, and more https://t.co/osdKleqlvt https://t.co/Zb8l2fy86H"
117,"UK construction industry shrinks as Brexit hits confidence - business live: British builders report that Brexit anxiety is creating delays in new projects, and making it harder to get materials * Latest: UK construction PMI hits 11-month low *… https://t.co/lhMcLYcRsw https://t.co/VGlTkFxLBn"
118,"Post-Brexit immigration plans will leave us short of key workers, says ex-minister: Former minister George Eustice today launched a stinging attack on the Government's post-Brexit immigration plans, warning that they risk leaving worker shortages in key… https://t.co/fyCGOslBxn https://t.co/pIDXrLA0lO"
119,"Brexit: Cox says backstop talks with EU were 'robust', implying no breakthrough yet - Politics live: Rolling coverage of the day’s political developments as they happen, including Theresa May and Jeremy Corbyn at PMQs * DUP won’t back Brexit without… https://t.co/pSbEIx0VNE https://t.co/gPgiA4fE4j"
120,"Workers pay price for Brexit chaos as firms axe thousands of staff: Businesses are laying off staff at the fastest rate since September 2012 as ""Brexit indecision"" takes a heavy toll on employers' confidence, a major survey revealed today. https://t.co/KImJOAE8vg https://t.co/NV8eNqiCG4"
121,"Brexit news latest: Traffic jams at Calais Port caused by protests 'could put lorry drivers' lives at risk': Traffic jams at the Port of Calais caused by workers' Brexit protests could put lorry drivers' lives at risk, it has been warned. https://t.co/WlerwrHOf4 https://t.co/t8mysbV4eV"
122,"@GOVUK has announced that after #Brexit, it will work to ensure that the standard of #WorkersRights will not be reduced, and that new #EU laws will be considered for UK adoption 
https://t.co/LKRTXYpeXZ https://t.co/0ttfZYx9DE"
123,My son-in-law who works for Schneider Electrics has just attended a group meeting where the MD has told British employees to look for new jobs as Brexit will more or less close the UK business. Can May be sued?
124,The car industry is in trouble globally yet all of that is blamed on BrExit. This is blatant #FakeNews propaganda. The way to protect UK-EU trade is a free trade agreement and Germany needs one more than we do #BBCNews
125,"""Protect jobs and the economy"" was the REMAIN campaign slogan. We rejected it. We voted LEAVE to take back control. The reason Brexit is in a mess is they aren't trying to take back control, they are trying to deliver REMAIN lite. #BBCQT"
126,"#ProjectFear time. German car makers want the UK in the Customs Union to protect German car jobs because they export cars to the UK. The alternative, which respects BrExit, is for the EU to agree a free trade agreement. #BBCNews"
127,"What do we expect when politicians work for ""the economy and jobs"", i.e. the City, instead of the British people? Like they do with BrExit. We voted LEAVE to restore democracy to focus them back on fixing problems like knife crime. Those politicians are mainly Labour, Owen #BBCQT"
128,"The British people rejected REMAIN's case for staying close to the EU to ""protect the economy and jobs"" in 2016.

Will you back the many who voted LEAVE to take back control or side with the few intent on blocking BrExit by calling for a delay or a second referendum nobody wants? https://t.co/DAHgb2vlqH"
129,"I see they are readying a massive ""Nissan cutting jobs because of BrExit"" #ProjectFear story.

Here are Nissan's Europe wide sales figures. Spot anything? https://t.co/JeH8j2xn2l"
130,"I cannot conceive of reaching Gerard's age &amp; position, and still only being capable of such witless debate.
Brexit proponents are children in adult bodies. Helped into jobs by other babies in the right school ties. https://t.co/ppBJXgvH1S"
131,"@alliance_irish @SydesJokes @Nigel_Farage @spikedonline No because we advertise jobs at a certain wages between x and x amount, never had anyone say oh I'll do it for less than advertised. Only time wages really come into it is salary but then it's educated or experienced people anyway. 
Not gonna matter soon as brexit = shutdown here"
132,@carolecadwalla Is McCluskey really so profoundly thick? He backs a mythical 'jobs-first' Brexit which acts as a catalyst for the meltdown of the UK automotive industry and then whinges about the catastrophic closure of the Honda plant. Stupid beyond belief. #PeoplesVote
133,@KimJongLike @Rachael_Swindon He's holding talks with Tory MPs. He wants May's deal plus a 'customs union'. He doesn't want a referendum as approved by Labour members. He wants to use Brexit to bring down May's government. Stopping Brexit and protecting jobs should be his top priority. It isn't. Your move...
134,"@Rachael_Swindon Your belated interest in Brexit is to be welcomed, Rachael. After two years of the Labour left telling us that Brexit is not important, there are other issues and they're bored with it, the brutal reality is now hitting home. As in 3,600 Honda jobs lost in your town of Swindon."
135,"May's words on workers' rights are meaningless. She is standing down after Brexit, paving the way for Johnson, Rees-Mogg et al to simply strip away those rights. Like trusting a python with your pet hamster (with due acknowledgement to John Major). https://t.co/DqcdUiEf6B"
136,@themedlams @Brexit Hope you don't work in the automotive industry
137,No-deal Brexit 'could bring return of low-welfare egg imports' https://t.co/AIjSzxImx5
138,No-deal Brexit 'could bring return of low-welfare egg imports' https://t.co/AIjSzxImx5
139,@MsAlliance I can imagine. It’s such a tough world out there economically &amp; investment is already drying up thanks to damn Brexit. I don’t know any area of employment that isn’t starting to suffer already.
140,"@Ladies4Leave Hello Belinda. If you have private wealth you &amp; your children will be ok. Those who haven’t will lose the freedom to live, love, work &amp; travel in 27 EU countries. Brexit will be bad for women’s rights, health, social care, jobs, trade, food. You’re welcome."
141,@MollyMEP @Jeremy_Hunt He gave the honest answer to why they're pushing it through: no Brexit would be the end of the Conservative Party. The Conservative Party as a Party is now the Brexit Party and lives or dies on that hill. Party before all else pays the rent for many career politicians.
142,@SkyNewsBreak German company worries about risk to Germany from #Brexit. No surprises.
143,@TheApparatchik @Number10cat Career before country I’m afraid. Let’s not go down the ‘Brexit lies’ route because I’m still not buying into it.
144,"May's Promise to Protect Workers' Rights After #Brexit Deemed Meaningless - full legal advice and comment from @Manuel_TSSA and @MoyerLee here: 

https://t.co/PHg87fjEAa https://t.co/AcqdYeX4rS"
145,"@TSSAunion and @IWGBunion are this morning providing QC opinion to MPs on Theresa May’s promises to guarantee workers’ rights after Brexit, her plans do not offer any credible assurances. https://t.co/cJO5pnRO6Z"
146,May's Workers' Rights Announcement a Con Trick - @Manuel_TSSA #Brexit https://t.co/05bJBjid56 https://t.co/fEn5PtYT3V
147,Unions attack May's Brexit pledge on workers’ rights https://t.co/00vk3hYdUl
